"purchase_date";"expenses";"account_name";"Amount_EUR"
"2024-11-01";"Gastos Italia";"Cuenta Principal";300.0
"2024-11-03";"Interspar Maiora";"Cuenta Principal";-60.88
"2024-11-04";"Google One";"Cuenta Principal";-1.83
"2024-11-05";"Interspar Maiora";"Cuenta Principal";-23.1
"2024-11-05";"Remitly";"Cuenta Principal";-47.78
"2024-11-05";"custom-good";"Cuenta Principal";-49.41
"2024-11-08";"Interspar Maiora";"Cuenta Principal";-14.76
"2024-11-08";"Telefonica Germany GmbH";"Cuenta Principal";-32.48
"2024-11-12";"MIAMI BEACH";"Cuenta Principal";-2.0
"2024-11-14";"Interspar Maiora";"Cuenta Principal";-14.39
"2024-11-16";"SUPERMERCATO CONAD";"Cuenta Principal";-32.33
"2024-11-20";"Interspar Maiora";"Cuenta Principal";-35.04
"2024-11-20";"POSTE ITALIANE";"Cuenta Principal";-1.3
"2024-11-20";"POSTE ITALIANE";"Cuenta Principal";-8.95
"2024-11-21";"CAFE' BISTROT CENTRALE";"Cuenta Principal";-4.0
"2024-11-21";"Gastos Italia";"Cuenta Principal";100.0
"2024-11-22";"E-Frisch GmbH";"Cuenta Principal";-26.31
